Wsk_efek_pp;KPI_epp;KPI_sprzedaz;KPI_ek;Cel_SprzedażyMiesięcznej;Region2;Imię i nazwisko;Number of Records;Oddział (copy);Oddział;Region;czas rozmowy (bin);czas rozmowy;data rozmowy (copy);data rozmowy;kwota zakupu (bin);kwota zakupu;numer klienta;przedstawiciel (klienci4 H2:K7);przedstawiciel
0,000496124;źle;Źle;klient;38,4;Wschodni;Paweł Panas;1;Rzeszów;Rzeszów;Południe;dłuugo;129;19.09.2013;19.09.2013;Niewielki zakupy;64;6;P03;P03
0,000853333;źle;Źle;klient;76,8;Wschodni;Paweł Panas;1;Rzeszów;Rzeszów;Południe;dłuugo;150;07.10.2013;07.10.2013;Średnie zakupy;128;12;P03;P03
0,001228571;źle;Źle;klient;103,2;południowo-zachodni;Krzysztof Bąk;1;Wrocław;Wrocław;Zachód;dłuugo;140;04.10.2013;04.10.2013;Średnie zakupy;172;12;P02;P02
0,000697143;źle;Źle;klient;73,2;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;dłuugo;175;20.10.2013;20.10.2013;Średnie zakupy;122;9;P05;P05
0,017727273;źle;Źle;klient;117;Mazowiecki;Jan Kowalski;1;Warszawa;Warszawa;Centrum;krótko;11;28.08.2013;28.08.2013;Duże zakupu;195;3;P01;P01
0,002231884;źle;Źle;klient;92,4;Mazowiecki;Aleksandra Matulak;1;Warszawa;Warszawa;Centrum;średnio;69;07.09.2013;07.09.2013;Średnie zakupy;154;7;P04;P04
0,001811881;źle;Źle;klient;109,8;południowo-zachodni;Krzysztof Bąk;1;Wrocław;Wrocław;Zachód;średnio;101;05.10.2013;05.10.2013;Duże zakupu;183;7;P02;P02
0,001177778;źle;Źle;klient;95,4;Mazowiecki;Aleksandra Matulak;1;Warszawa;Warszawa;Centrum;dłuugo;135;25.10.2013;25.10.2013;Średnie zakupy;159;11;P04;P04
0,000403509;źle;Źle;klient;41,4;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;dłuugo;171;26.08.2013;26.08.2013;Niewielki zakupy;69;9;P05;P05
0,002113402;źle;Źle;klient;123;Mazowiecki;Jan Kowalski;1;Warszawa;Warszawa;Centrum;średnio;97;14.08.2013;14.08.2013;Duże zakupu;205;2;P01;P01
0,001223881;źle;Źle;klient;98,4;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;dłuugo;134;25.09.2013;25.09.2013;Średnie zakupy;164;5;P05;P05
0,032;źle;Źle;klient;38,4;południowo-zachodni;Krzysztof Bąk;1;Wrocław;Wrocław;Zachód;krótko;2;29.08.2013;29.08.2013;Niewielki zakupy;64;5;P02;P02
0,001205128;źle;Źle;klient;28,2;Mazowiecki;Jan Kowalski;1;Warszawa;Warszawa;Centrum;krótko;39;04.08.2013;04.08.2013;Niewielki zakupy;47;11;P01;P01
0,0009;źle;Źle;klient;81;Mazowiecki;Aleksandra Matulak;1;Warszawa;Warszawa;Centrum;dłuugo;150;13.10.2013;13.10.2013;Średnie zakupy;135;11;P04;P04
0,001134615;źle;Źle;klient;70,8;Wschodni;Paweł Panas;1;Rzeszów;Rzeszów;Południe;średnio;104;06.09.2013;06.09.2013;Średnie zakupy;118;11;P03;P03
0,001020833;źle;Źle;klient;88,2;Wschodni;Paweł Panas;1;Rzeszów;Rzeszów;Południe;dłuugo;144;05.09.2013;05.09.2013;Średnie zakupy;147;10;P03;P03
0,001935185;źle;Źle;klient;125,4;południowo-zachodni;Krzysztof Bąk;1;Wrocław;Wrocław;Zachód;średnio;108;19.08.2013;19.08.2013;Duże zakupu;209;9;P02;P02
0,000387597;źle;Źle;klient;30;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;dłuugo;129;09.08.2013;09.08.2013;Niewielki zakupy;50;1;P05;P05
0,004548387;źle;Źle;klient;84,6;Mazowiecki;Aleksandra Matulak;1;Warszawa;Warszawa;Centrum;krótko;31;14.09.2013;14.09.2013;Średnie zakupy;141;8;P04;P04
0,000856209;źle;Źle;klient;78,6;Centralny;Krystyna Noczulska;1;Łódź;Łódź;Centrum;dłuugo;153;13.09.2013;13.09.2013;Średnie zakupy;131;9;P05;P05
0,006375;źle;Źle;klient;91,8;Mazowiecki;Jan Kowalski;1;Warszawa;Warszawa;Centrum;krótko;24;30.09.2013;30.09.2013;Średnie zakupy;153;4;P01;P01
